data_type,category,n_measurements,mean,std,min,p25,p50,p75,p95,max
Vitals,heart_rate,6885271,87.60575727520384,19.616818923974012,0.0,74.0,86.0,100.0,122.0,300.0
Vitals,temp_c,1495033,36.63770491627944,0.745161871601438,32.0,36.1666,36.6111,37.0555,37.9444,44.0
Vitals,spo2,6651559,96.59423482524925,3.5127719957393833,50.0,95.0,97.0,99.0,100.0,100.0
Vitals,map,4655318,86.96304256551325,16.60624866716661,0.0,75.0,85.0,97.0,116.0,250.0
Vitals,weight_kg,125413,85.21607915846043,27.152991479992835,30.0998,66.5993,80.9991,98.6989,133.999,606.694
Vitals,dbp,4763796,71.468841864765,16.456617251549677,0.0,60.0,70.0,81.0,100.0,200.0
Vitals,height_cm,40556,168.5578252243811,11.352790984598203,81.28,160.02,167.64,177.8,187.96,213.401
Vitals,respiratory_rate,7091136,20.21871559084468,6.336746410538527,0.0,16.0,19.0,24.0,32.0,60.0
Vitals,sbp,4764138,123.13421399632,24.273337886578073,0.0,105.0,121.0,139.0,165.0,300.0
Labs,monocytes_absolute,643811,1.0089566658537987,1.6456038126719832,0.0,0.51,0.76,1.11,2.07,50.0
Labs,ast,1082685,166.3289239252414,760.9031502755983,3.0,22.0,35.0,70.0,506.0,19854.0
Labs,chloride,1808015,104.68339477272036,6.606015084990072,58.0,101.0,105.0,108.0,115.0,140.0
Labs,potassium,2535697,4.120802169975357,0.6123893250957787,1.2,3.7,4.1,4.4,5.2,10.0
Labs,platelet_count,3158782,199.4280396684545,120.04984302093648,0.0,116.0,183.0,260.0,418.0,1992.0
Labs,phosphate,784480,3.614588262288395,1.3596260502030997,0.7,2.7,3.4,4.2,6.2,15.0
Labs,po2_venous,144,40.611111111111114,27.041406293330745,15.0,24.0,34.0,48.0,81.69999999999999,241.0
Labs,basophils_percent,749315,0.3695547266503406,0.3152303443536653,0.0,0.2,0.3,0.5,0.9,17.4
Labs,creatinine,2260733,1.8295723245513735,2.0431752427558423,0.2,0.74,1.05,1.99,5.93,20.0
Labs,neutrophils_percent,598949,75.24829877001213,13.389412595002224,0.0,68.5,77.6,84.7,91.9,100.0
Labs,so2_arterial,501939,96.10757920783203,5.50447568903824,3.5,95.2,97.8,99.0,99.8,100.0
Labs,wbc,868628,11.976154924777926,11.915102521199284,0.0,6.9,9.89,14.11,25.45,497.2
Labs,hemoglobin,2582808,9.86665923289691,2.2532083227490713,2.0,8.1,9.4,11.3,14.1,23.3
Labs,eosinophils_absolute,491032,0.18455273790710178,0.649549581216641,0.0,0.01,0.07,0.2,0.62,50.0
Labs,ferritin,11879,2089.663776412156,5227.855119101807,1.0,275.0,845.0,2108.0,7236.300000000001,230404.0
Labs,alt,1047388,132.5794777102659,563.0295222874433,5.0,15.0,27.0,59.0,463.0,19191.0
Labs,bicarbonate,2137975,23.126751669219704,5.01909318938707,2.0,20.0,23.0,26.0,31.0,50.0
Labs,crp,16919,143.2728423665701,113.02389826369809,0.5,46.1,116.0,222.95,354.8199999999997,610.66
Labs,magnesium,727170,2.108416876383789,0.3600037865547008,0.7,1.9,2.1,2.3,2.7,10.0
Labs,hematocrit,681568,30.51966847035072,6.7719600028777425,4.0,25.4,29.4,35.0,42.9,71.3
Labs,calcium_ionized,91520,1.1778895323426575,0.14377931683310569,0.27,1.1,1.18,1.25,1.39,4.12
Labs,lymphocytes_percent,749977,12.875502848754028,10.658693215651574,0.0,5.8,10.2,16.8,31.5,100.0
Labs,so2_central_venous,118630,66.58238809744583,13.904681411826502,10.0,57.4,65.6,75.1,93.0,100.0
Labs,ldh,54274,665.7327818108118,696.9732815249416,39.0,322.0,482.0,729.0,1724.0,9138.0
Labs,inr,630153,1.427385746001368,0.7171893199067109,0.82,1.07,1.19,1.48,2.66,13.99
Labs,alkaline_phosphatase,1254148,142.34958633271353,160.2490782176563,9.0,70.0,98.0,151.0,375.0,3897.0
Labs,pt,619446,14.837387278309976,6.896486913248075,8.9,11.4,12.6,15.5,26.7,183.6
Labs,eosinophils_percent,749455,1.5917758904804156,2.5177902774387437,0.0,0.1,0.7,2.2,5.9,67.4
Labs,esr,2742,59.94638949671772,38.23698187747661,1.0,30.0,56.0,84.0,126.0,140.0
Labs,neutrophils_absolute,1125574,9.111944181368795,6.069901682250944,0.0,5.06,7.79,11.61,20.57,50.0
Labs,troponin_i,76223,248.01642588195162,989.7042585173282,0.01,0.09,0.96,39.6,1266.2399999999964,9990.2
Labs,monocytes_percent,749933,8.031574020612508,4.328663232994855,0.0,5.3,7.6,10.1,14.8,92.0
Labs,calcium_total,2422143,8.683901115664929,0.9199300287841748,2.3,8.1,8.7,9.3,10.1,19.9
Labs,bun,1805566,31.262456204868723,23.97319937624631,2.0,14.0,24.0,41.0,81.0,249.0
Labs,glucose_fingerstick,1176486,161.1252934586557,61.93991497006109,20.0,121.0,150.0,186.0,283.0,565.0
Labs,lymphocytes_absolute,761399,1.4165870982231392,2.461440963650733,0.0,0.64,1.05,1.61,2.91,50.0
Labs,lactate,163358,2.5543524039226733,2.909712695562844,0.1,1.1,1.6,2.6,8.514999999999418,30.0
Labs,ph_arterial,777732,7.386056078443475,0.09367201036848109,6.639,7.342,7.402,7.447,7.507,7.883
Labs,glucose_serum,1816828,141.73983448075438,65.09478775567871,5.0,102.0,126.0,162.0,257.0,1824.0
Labs,bilirubin_conjugated,61920,1.8411589147286822,3.6403452297905443,0.1,0.23,0.46,1.56,8.94,42.62
Labs,ptt,526325,42.608633828908,19.300568305954037,2.3,28.9,35.8,51.9,78.6,177.0
Labs,procalcitonin,1424,6.902373595505618,36.99661140891756,0.01,0.2,0.73,2.795,24.30949999999994,955.73
Labs,total_protein,1470398,5.950391322621495,1.1118028748438444,0.9,5.2,6.0,6.7,7.7,14.7
Labs,ph_venous,58965,7.361605121682353,0.07811288359669782,6.721,7.323,7.37,7.411,7.47,7.789
Labs,basophils_absolute,641647,0.04997135496620416,0.2628180415900526,0.0,0.02,0.03,0.05,0.11,45.0
Labs,albumin,1618742,2.422229299048273,0.7069072909505874,0.4,1.9,2.4,2.9,3.6,5.4
Labs,sodium,2602323,138.52641274737994,5.6512548766919375,100.0,135.0,138.0,141.0,148.0,189.0
Labs,bilirubin_total,1480030,2.303377904501936,5.170193838528268,0.1,0.5,0.7,1.6,10.5,76.4
Labs,pco2_arterial,715321,40.98781190542428,13.09859772573188,1.9,33.0,39.0,46.0,64.0,249.0
Labs,po2_arterial,639668,124.90216799964982,66.27638914888541,10.0,80.0,108.0,152.0,246.0,678.0
Labs,pco2_venous,43954,43.190119215543525,14.251235060521008,2.5,32.8,41.8,51.5,68.93499999999986,217.0
